State,2016,1981 to 2000 average,Difference 2016 and 1981 to 2000 average,Percent Difference 2016 and 1981 to 2000 average
ALABAMA,976,432.6,543.4,1.256125751
ALASKA,150,102,48,0.4705882353
ARIZONA,444,106.25,337.75,3.178823529
ARKANSAS,882,598.6,283.4,0.4734380221
CALIFORNIA,1323,207.7,1115.3,5.369764083
COLORADO,1165,467.05,697.95,1.494379617
CONNECTICUT,210,66.7,143.3,2.148425787
DELAWARE,277,40.35,236.65,5.864931846
DISTRICT OF COLUMBIA,47,7.3,39.7,5.438356164
FLORIDA,1059,519.15,539.85,1.039872869
GEORGIA,1664,612.85,1051.15,1.715183161
HAWAII,727,77.7,649.3,8.356499356
IDAHO,280,97.15,182.85,1.882141019
ILLINOIS,1379,551.75,827.25,1.499320344
INDIANA,1043,415.45,627.55,1.51053075
IOWA,1880,668,1212,1.814371257
KANSAS,2222,991.9,1230.1,1.240145176
KENTUCKY,2123,407.25,1715.75,4.213014119
LOUISIANA,900,449.2,450.8,1.003561888
MAINE,385,169.8,215.2,1.26737338
MARYLAND,882,184.75,697.25,3.774018945
MASSACHUSETTS,887,161.45,725.55,4.493960979
MICHIGAN,797,410.25,386.75,0.942717855
MINNESOTA,1826,508.65,1317.35,2.58989482
MISSISSIPPI,1260,411.15,848.85,2.064574973
MISSOURI,1512,639,873,1.366197183
MONTANA,948,240.85,707.15,2.936059788
NEBRASKA,1553,621.55,931.45,1.498592229
NEVADA,184,54.45,129.55,2.379247016
NEW HAMPSHIRE,168,91.55,76.45,0.8350628072
NEW JERSEY,722,254.3,467.7,1.839166339
NEW MEXICO,481,147.35,333.65,2.264336614
NEW YORK,1334,550.95,783.05,1.421272348
NORTH CAROLINA,1656,597.95,1058.05,1.76946233
NORTH DAKOTA,1092,307.7,784.3,2.548911277
OHIO,1050,597.25,452.75,0.7580577648
OKLAHOMA,1363,1223.5,139.5,0.1140171639
OREGON,317,87.05,229.95,2.641585296
PENNSYLVANIA,898,558.7,339.3,0.6073026669
PUERTO RICO,184,34.6,149.4,4.317919075
RHODE ISLAND,177,35.25,141.75,4.021276596
SOUTH CAROLINA,1113,338.35,774.65,2.289493128
SOUTH DAKOTA,1793,423.95,1369.05,3.22927232
TENNESSEE,1590,403.25,1186.75,2.942963422
TEXAS,3473,2018.5,1454.5,0.7205845925
UTAH,318,94.3,223.7,2.372216331
VERMONT,210,95.55,114.45,1.197802198
VIRGIN ISLANDS,1,5,-4,-0.8
VIRGINIA,2235,451.65,1783.35,3.948522086
WASHINGTON,320,53.6,266.4,4.970149254
WEST VIRGINIA,894,283.05,610.95,2.15845257
WISCONSIN,1193,484.25,708.75,1.463603511
WYOMING,1627,161.35,1465.65,9.083669042
